time,charles_ipadair,charles,christina,yvonne,jonathan_iPad2,jonathan
2014-03-15 12:35:48,7,2,2,2,8,2
2014-03-15 12:35:49,7,2,2,2,8,2
2014-03-15 12:35:50,7,2,2,2,8,2
2014-03-15 12:35:51,7,2,2,2,8,2
2014-03-15 12:35:52,7,2,2,2,8,2
2014-03-15 12:35:53,7,2,2,2,8,2
2014-03-15 12:35:54,7,2,2,2,8,2
2014-03-15 12:35:55,7,2,2,2,8,2
2014-03-15 12:35:56,7,2,2,2,8,2
2014-03-15 12:35:57,7,2,2,2,8,2
2014-03-15 12:35:58,7,2,2,2,8,2
2014-03-15 12:35:59,7,2,2,2,8,2
2014-03-15 12:36:00,7,2,2,2,8,2
2014-03-15 12:36:01,7,2,2,2,8,2
2014-03-15 12:36:02,7,2,2,2,8,2
2014-03-15 12:36:03,7,2,2,2,8,2
2014-03-15 12:36:04,7,2,2,2,8,2
2014-03-15 12:36:05,7,2,2,2,8,2
2014-03-15 12:36:06,7,2,2,2,8,2
2014-03-15 12:36:07,7,2,2,2,8,2
2014-03-15 12:36:08,7,2,2,2,8,2
2014-03-15 12:36:09,7,2,2,2,7,2
2014-03-15 12:36:10,7,2,2,2,7,2
2014-03-15 12:36:11,7,2,2,2,7,2
2014-03-15 12:36:12,7,2,2,2,7,2
2014-03-15 12:36:13,7,2,2,2,8,2
2014-03-15 12:36:14,7,2,2,2,8,2
2014-03-15 12:36:15,7,2,2,2,8,2
2014-03-15 12:36:16,7,2,2,2,8,2
2014-03-15 12:36:17,7,2,2,2,8,2
2014-03-15 12:36:18,7,2,2,2,8,2
2014-03-15 12:36:19,7,2,2,2,8,2
2014-03-15 12:36:20,7,2,2,2,7,2
2014-03-15 12:36:21,4,3,2,2,7,2
2014-03-15 12:36:22,4,3,2,2,4,2
2014-03-15 12:36:23,4,3,2,2,4,2
2014-03-15 12:36:24,8,3,2,2,4,2
2014-03-15 12:36:25,2,3,2,2,2,2
2014-03-15 12:36:26,2,2,2,2,2,2
2014-03-15 12:36:27,2,2,2,2,2,2
2014-03-15 12:36:28,2,2,2,2,2,2
2014-03-15 12:36:29,2,2,2,2,2,2
2014-03-15 12:36:30,2,2,2,2,2,2
2014-03-15 12:36:31,2,2,2,2,2,2
2014-03-15 12:36:32,2,2,2,2,2,2
2014-03-15 12:36:33,2,2,2,2,2,2
2014-03-15 12:36:34,2,2,2,2,2,2
2014-03-15 12:36:35,2,2,2,2,2,2
2014-03-15 12:36:36,2,2,2,2,2,2
2014-03-15 12:36:37,2,2,2,2,2,2
2014-03-15 12:36:38,2,2,2,2,2,2
2014-03-15 12:36:39,2,2,2,2,2,2
2014-03-15 12:36:40,2,2,2,2,2,2
2014-03-15 12:36:41,2,2,2,2,2,2
2014-03-15 12:36:42,2,2,2,2,2,2
2014-03-15 12:36:43,2,2,2,2,2,2
2014-03-15 12:36:44,2,2,2,2,2,2
2014-03-15 12:36:45,2,2,2,2,2,2
2014-03-15 12:36:46,2,2,2,2,2,2
2014-03-15 12:36:47,2,2,2,2,2,2
2014-03-15 12:36:48,2,2,2,2,2,2
2014-03-15 12:36:49,2,2,2,2,2,2
2014-03-15 12:36:50,2,2,2,2,2,2
2014-03-15 12:36:51,2,2,2,2,2,2
2014-03-15 12:36:52,2,2,2,8,2,2
2014-03-15 12:36:53,2,2,2,3,2,2
2014-03-15 12:36:54,2,2,2,2,2,2
2014-03-15 12:36:55,2,2,2,2,2,2
2014-03-15 12:36:56,2,2,2,2,2,2
2014-03-15 12:36:57,2,2,2,2,2,2
2014-03-15 12:36:58,2,2,2,2,2,2
2014-03-15 12:36:59,2,2,2,2,2,2
2014-03-15 12:37:00,2,2,2,2,2,2
2014-03-15 12:37:01,2,2,2,2,2,2
2014-03-15 12:37:02,2,2,2,2,2,4
2014-03-15 12:37:03,3,8,2,3,8,8
2014-03-15 12:37:04,4,4,2,4,8,7
2014-03-15 12:37:05,4,4,2,4,8,7
2014-03-15 12:37:06,7,4,2,7,7,7
2014-03-15 12:37:07,7,6,4,6,7,7
2014-03-15 12:37:08,7,6,4,6,8,7
2014-03-15 12:37:09,7,6,4,6,8,7
2014-03-15 12:37:10,7,7,6,6,8,7
2014-03-15 12:37:11,7,7,6,6,8,7
2014-03-15 12:37:12,7,7,6,6,8,7
2014-03-15 12:37:13,7,7,6,6,7,7
2014-03-15 12:37:14,7,7,6,6,7,7
2014-03-15 12:37:15,7,6,6,6,8,7
2014-03-15 12:37:16,7,6,6,6,8,7
2014-03-15 12:37:17,7,6,6,6,8,7
2014-03-15 12:37:18,7,6,6,6,8,7
2014-03-15 12:37:19,7,6,6,7,8,7
2014-03-15 12:37:20,7,6,6,7,8,7
2014-03-15 12:37:21,7,6,6,7,8,7
2014-03-15 12:37:22,7,6,6,7,7,7
2014-03-15 12:37:23,7,6,6,7,7,7
2014-03-15 12:37:24,8,6,8,7,7,7
2014-03-15 12:37:25,7,6,6,6,7,7
2014-03-15 12:37:26,7,6,6,6,7,7
2014-03-15 12:37:27,7,6,6,6,7,7
2014-03-15 12:37:28,7,8,6,6,7,7
2014-03-15 12:37:29,7,8,6,6,7,7
