time,charles,yvonne,christina,jonathan
2014-08-24 16:00:16,0,2,0,0
2014-08-24 16:00:17,0,0,0,0
2014-08-24 16:00:18,0,0,0,0
2014-08-24 16:00:19,0,0,0,2
2014-08-24 16:00:20,0,0,0,2
2014-08-24 16:00:21,0,2,0,2
2014-08-24 16:00:22,0,2,0,2
2014-08-24 16:00:23,0,3,0,2
2014-08-24 16:00:24,0,3,0,2
2014-08-24 16:00:25,0,3,0,2
2014-08-24 16:00:26,0,3,0,8
2014-08-24 16:00:27,0,3,0,8
2014-08-24 16:00:28,0,3,0,2
2014-08-24 16:00:29,0,4,0,8
2014-08-24 16:00:30,0,2,0,8
2014-08-24 16:00:31,0,2,0,5
2014-08-24 16:00:32,0,2,0,5
2014-08-24 16:00:33,0,2,0,5
2014-08-24 16:00:34,0,2,0,5
2014-08-24 16:00:35,0,2,0,5
2014-08-24 16:00:36,0,2,0,5
2014-08-24 16:00:37,0,0,0,8
2014-08-24 16:00:38,0,0,0,8
2014-08-24 16:00:39,0,0,0,8
2014-08-24 16:00:40,0,0,0,2
2014-08-24 16:00:41,0,0,0,2
2014-08-24 16:00:42,0,0,0,2
2014-08-24 16:00:43,0,0,0,8
2014-08-24 16:00:44,0,0,0,8
2014-08-24 16:00:45,0,0,0,8
2014-08-24 16:00:46,0,2,0,7
2014-08-24 16:00:47,0,2,0,8
2014-08-24 16:00:48,0,2,0,4
2014-08-24 16:00:49,0,4,0,8
2014-08-24 16:00:50,0,4,0,8
2014-08-24 16:00:51,0,4,0,4
2014-08-24 16:00:52,0,4,0,8
2014-08-24 16:00:53,0,4,0,8
2014-08-24 16:00:54,0,0,0,8
2014-08-24 16:00:55,0,0,0,8
2014-08-24 16:00:56,0,0,0,2
2014-08-24 16:00:57,0,0,0,2
2014-08-24 16:00:58,0,0,0,2
2014-08-24 16:00:59,0,0,0,0
2014-08-24 16:01:00,0,0,0,0
2014-08-24 16:01:01,0,0,0,0
2014-08-24 16:01:02,0,3,0,0
2014-08-24 16:01:03,0,3,0,0
2014-08-24 16:01:04,0,3,0,0
2014-08-24 16:01:05,0,3,0,0
2014-08-24 16:01:06,0,3,0,0
2014-08-24 16:01:07,0,4,0,0
2014-08-24 16:01:08,0,0,0,0
2014-08-24 16:01:09,0,0,0,0
2014-08-24 16:01:10,0,0,0,0
2014-08-24 16:01:11,0,0,0,0
2014-08-24 16:01:12,0,0,0,0
2014-08-24 16:01:13,0,0,0,0
2014-08-24 16:01:14,0,0,0,0
2014-08-24 16:01:15,0,0,0,0
2014-08-24 16:01:16,0,0,0,0
2014-08-24 16:01:17,0,0,0,0
2014-08-24 16:01:18,0,0,0,0
2014-08-24 16:01:19,0,0,0,0
2014-08-24 16:01:20,0,0,0,0
2014-08-24 16:01:21,0,0,0,0
2014-08-24 16:01:22,0,0,0,0
2014-08-24 16:01:23,0,0,0,0
2014-08-24 16:01:24,0,0,0,0
2014-08-24 16:01:25,0,0,0,0
2014-08-24 16:01:26,0,2,0,0
2014-08-24 16:01:27,0,3,0,0
2014-08-24 16:01:28,0,3,0,0
2014-08-24 16:01:29,0,3,0,0
2014-08-24 16:01:30,0,3,0,0
2014-08-24 16:01:31,0,5,0,0
2014-08-24 16:01:32,0,5,0,0
2014-08-24 16:01:33,0,0,0,0
2014-08-24 16:01:34,0,0,0,0
2014-08-24 16:01:35,0,0,0,0
2014-08-24 16:01:36,0,0,0,0
2014-08-24 16:01:37,0,2,0,0
2014-08-24 16:01:38,0,2,0,0
2014-08-24 16:01:39,0,2,0,2
2014-08-24 16:01:40,0,2,0,8
2014-08-24 16:01:41,0,2,0,4
2014-08-24 16:01:42,0,8,2,8
2014-08-24 16:01:43,0,8,2,8
2014-08-24 16:01:44,0,4,2,8
2014-08-24 16:01:45,0,4,2,8
2014-08-24 16:01:46,0,4,8,8
2014-08-24 16:01:47,0,4,4,2
2014-08-24 16:01:48,0,4,4,2
2014-08-24 16:01:49,0,1,4,3
2014-08-24 16:01:50,0,1,4,3
2014-08-24 16:01:51,0,3,4,3
2014-08-24 16:01:52,0,3,4,3
2014-08-24 16:01:53,0,3,4,3
2014-08-24 16:01:54,0,4,2,4
2014-08-24 16:01:55,0,7,2,4
2014-08-24 16:01:56,0,6,2,4
2014-08-24 16:01:57,0,6,3,4
2014-08-24 16:01:58,0,6,4,4
2014-08-24 16:01:59,0,6,4,4
2014-08-24 16:02:00,0,7,7,4
2014-08-24 16:02:01,0,7,8,3
2014-08-24 16:02:02,0,7,6,3
2014-08-24 16:02:03,0,7,7,3
2014-08-24 16:02:04,0,7,7,1
2014-08-24 16:02:05,0,7,7,1
2014-08-24 16:02:06,0,7,8,3
2014-08-24 16:02:07,0,6,4,3
2014-08-24 16:02:08,0,7,2,3
2014-08-24 16:02:09,0,5,2,4
2014-08-24 16:02:10,0,5,2,4
2014-08-24 16:02:11,0,5,2,4
2014-08-24 16:02:12,0,5,3,4
2014-08-24 16:02:13,0,6,3,4
2014-08-24 16:02:14,0,6,4,4
2014-08-24 16:02:15,0,5,4,4
2014-08-24 16:02:16,0,5,4,4
2014-08-24 16:02:17,0,6,7,4
2014-08-24 16:02:18,0,4,4,4
2014-08-24 16:02:19,0,4,4,4
2014-08-24 16:02:20,0,4,7,4
2014-08-24 16:02:21,0,4,7,3
2014-08-24 16:02:22,0,5,7,3
2014-08-24 16:02:23,0,5,8,3
2014-08-24 16:02:24,0,5,8,3
2014-08-24 16:02:25,0,5,8,3
2014-08-24 16:02:26,0,5,8,3
2014-08-24 16:02:27,0,5,8,6
2014-08-24 16:02:28,0,5,7,6
2014-08-24 16:02:29,0,5,8,8
2014-08-24 16:02:30,0,7,7,8
2014-08-24 16:02:31,0,7,8,8
2014-08-24 16:02:32,0,7,7,3
2014-08-24 16:02:33,0,7,7,3
2014-08-24 16:02:34,0,7,7,3
2014-08-24 16:02:35,0,7,8,3
2014-08-24 16:02:36,0,7,2,4
2014-08-24 16:02:37,0,7,2,4
2014-08-24 16:02:38,0,7,2,3
2014-08-24 16:02:39,0,7,4,3
2014-08-24 16:02:40,0,7,4,3
2014-08-24 16:02:41,0,4,4,3
2014-08-24 16:02:42,0,4,4,2
2014-08-24 16:02:43,0,3,6,2
2014-08-24 16:02:44,0,2,6,3
2014-08-24 16:02:45,0,2,6,3
2014-08-24 16:02:46,0,3,7,3
2014-08-24 16:02:47,0,3,7,3
2014-08-24 16:02:48,0,3,7,4
2014-08-24 16:02:49,0,3,4,4
2014-08-24 16:02:50,0,3,4,4
2014-08-24 16:02:51,0,3,4,4
2014-08-24 16:02:52,0,3,4,3
2014-08-24 16:02:53,0,4,2,4
2014-08-24 16:02:54,0,4,2,4
2014-08-24 16:02:55,0,4,3,4
