time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 12:58:53,2,2
2015-06-03 12:58:54,2,2
2015-06-03 12:58:55,2,3
2015-06-03 12:58:56,2,4
2015-06-03 12:58:57,2,4
2015-06-03 12:58:58,2,4
2015-06-03 12:58:59,2,8
2015-06-03 12:59:00,2,8
2015-06-03 12:59:01,2,4
2015-06-03 12:59:02,1,4
2015-06-03 12:59:03,1,4
2015-06-03 12:59:04,1,3
2015-06-03 12:59:05,1,2
2015-06-03 12:59:06,1,2
2015-06-03 12:59:07,1,1
2015-06-03 12:59:08,1,1
2015-06-03 12:59:09,1,5
2015-06-03 12:59:10,1,5
2015-06-03 12:59:11,1,5
2015-06-03 12:59:12,1,5
2015-06-03 12:59:13,1,5
2015-06-03 12:59:14,1,5
2015-06-03 12:59:15,1,5
2015-06-03 12:59:16,1,5
2015-06-03 12:59:17,1,3
2015-06-03 12:59:18,3,2
2015-06-03 12:59:19,3,2
2015-06-03 12:59:20,3,5
2015-06-03 12:59:21,1,5
2015-06-03 12:59:22,3,2
2015-06-03 12:59:23,2,2
2015-06-03 12:59:24,0,2
2015-06-03 12:59:25,0,2
2015-06-03 12:59:26,0,2
2015-06-03 12:59:27,0,2
2015-06-03 12:59:28,0,0
2015-06-03 12:59:29,0,0
2015-06-03 12:59:30,0,0
2015-06-03 12:59:31,0,0
2015-06-03 12:59:32,0,0
2015-06-03 12:59:33,0,0
2015-06-03 12:59:34,0,0
2015-06-03 12:59:35,0,0
2015-06-03 12:59:36,0,0
2015-06-03 12:59:37,0,0
2015-06-03 12:59:38,0,0
2015-06-03 12:59:39,0,0
2015-06-03 12:59:40,0,0
2015-06-03 12:59:41,0,0
2015-06-03 12:59:42,0,0
2015-06-03 12:59:43,0,0
2015-06-03 12:59:44,0,0
2015-06-03 12:59:45,0,0
2015-06-03 12:59:46,0,0
2015-06-03 12:59:47,0,0
2015-06-03 12:59:48,0,0
2015-06-03 12:59:49,0,0
2015-06-03 12:59:50,0,0
2015-06-03 12:59:51,0,0
2015-06-03 12:59:52,0,0
2015-06-03 12:59:53,0,0
2015-06-03 12:59:54,0,0
2015-06-03 12:59:55,0,0
2015-06-03 12:59:56,0,0
2015-06-03 12:59:57,0,0
2015-06-03 12:59:58,0,0
2015-06-03 12:59:59,0,0
2015-06-03 13:00:00,0,0
2015-06-03 13:00:01,0,0
2015-06-03 13:00:02,0,0
2015-06-03 13:00:03,0,0
2015-06-03 13:00:04,0,0
2015-06-03 13:00:05,0,0
2015-06-03 13:00:06,0,0
2015-06-03 13:00:07,0,0
2015-06-03 13:00:08,0,0
2015-06-03 13:00:09,0,0
2015-06-03 13:00:10,0,0
2015-06-03 13:00:11,0,0
2015-06-03 13:00:12,0,0
2015-06-03 13:00:13,0,0
2015-06-03 13:00:14,0,0
2015-06-03 13:00:15,0,0
2015-06-03 13:00:16,0,0
2015-06-03 13:00:17,0,0
2015-06-03 13:00:18,0,0
2015-06-03 13:00:19,0,0
2015-06-03 13:00:20,0,0
2015-06-03 13:00:21,0,0
2015-06-03 13:00:22,0,0
2015-06-03 13:00:23,0,0
2015-06-03 13:00:24,0,0
2015-06-03 13:00:25,0,0
2015-06-03 13:00:26,0,0
2015-06-03 13:00:27,0,0
2015-06-03 13:00:28,0,0
2015-06-03 13:00:29,0,0
2015-06-03 13:00:30,0,0
2015-06-03 13:00:31,0,0
2015-06-03 13:00:32,0,0
2015-06-03 13:00:33,0,0
2015-06-03 13:00:34,0,0
2015-06-03 13:00:35,0,0
2015-06-03 13:00:36,0,0
2015-06-03 13:00:37,0,0
2015-06-03 13:00:38,0,0
2015-06-03 13:00:39,0,0
2015-06-03 13:00:40,0,0
2015-06-03 13:00:41,0,0
2015-06-03 13:00:42,0,0
2015-06-03 13:00:43,0,0
2015-06-03 13:00:44,0,0
2015-06-03 13:00:45,0,0
2015-06-03 13:00:46,0,0
2015-06-03 13:00:47,0,0
2015-06-03 13:00:48,0,0
2015-06-03 13:00:49,0,0
2015-06-03 13:00:50,0,0
2015-06-03 13:00:51,0,0
2015-06-03 13:00:52,0,0
2015-06-03 13:00:53,0,0
2015-06-03 13:00:54,0,0
2015-06-03 13:00:55,0,0
2015-06-03 13:00:56,0,0
2015-06-03 13:00:57,0,0
2015-06-03 13:00:58,0,0
2015-06-03 13:00:59,0,0
2015-06-03 13:01:00,0,0
2015-06-03 13:01:01,0,0
2015-06-03 13:01:02,0,0
2015-06-03 13:01:03,0,0
2015-06-03 13:01:04,0,0
2015-06-03 13:01:05,0,0
2015-06-03 13:01:06,0,0
2015-06-03 13:01:07,0,0
2015-06-03 13:01:08,0,0
2015-06-03 13:01:09,0,0
2015-06-03 13:01:10,0,0
2015-06-03 13:01:11,0,0
